Gene	Family Member	PMID	Species	Organ	Tissues/Cell line	Experiment	# Replicates	Control	Quality/Fold Change
THAP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THAP4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THAP7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THAP8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THBD	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THBS3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THEM4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THOC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THOC3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THOC4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THOC5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THRAP3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THRB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THRB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THUMPD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THUMPD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
THYN1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIA1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIAL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TICAM1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TICAM2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIFA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIGD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIGD4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIGD6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMELESS	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM13	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM23	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM44	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM8B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMM9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIMP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TIPIN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TJP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TK1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TKTL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TLE2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TLK1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TLL2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TLN1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TLR5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM2D1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM2D2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM2D3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM4SF19	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM4SF5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM7SF3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM9SF1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TM9SF3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMBIM1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMBIM4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMC8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMCC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMCO1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMCO4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMED1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMED10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMED10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMED4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMED5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM101	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM107	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM109	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM11	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM110	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM111	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM115	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM116	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM120A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM123	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM127	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM139	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM141	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM143	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM150A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM158	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM160	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM161A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM161B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM167A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM168	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM17	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM170A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM179	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM18	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM180	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM183A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM184B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM185B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM186	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM189-UBE2V1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM198	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM200B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM203	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM206	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM209	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM41A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM44	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM48	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM50A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM50B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM52	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM53	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM54	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM55A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM60	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM62	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM63A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM64	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM65	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM66	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM68	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM87A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM8A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMEM9B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMF1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMIGD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMSB10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMX3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TMX4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFAIP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF10A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF10B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF13C	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF21	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF8	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFRSF9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNFSF12-TNFSF13	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNIP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNIP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNKS1BP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNNC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNPO2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNPO3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNXA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TNXB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOB1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOB2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOB2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOLLIP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOM1L2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOMM20	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOMM34	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOMM7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOMM70A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP1MT	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP2A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP2B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP3A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP3B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOP3B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOPBP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOPORS	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOR1A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOR1AIP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TOX	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53BP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53BP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53I13	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53I3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TP53RK	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPD52	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPK1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPM3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPMT	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPPP3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPR	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPRKB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TPT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRA2A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRA2B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRA2B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRABD	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAF6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAF7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAIP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAM1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAM2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAPPC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAPPC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAPPC10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAPPC3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRAPPC6A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRDMT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRERF1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIAP1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM11	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM14	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM23	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM25	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM26	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM27	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM33	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM35	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM37	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM47	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM59	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM62	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM63	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM65	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM68	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIM7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIP10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIP11	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIP12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIP12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIP6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRIT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRMT112	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRMT2A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRMT5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRMT6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRMT61B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPA1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPC4AP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPM2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPM7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPS1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRPV3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TRUB2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSC22D1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSEN54	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSG101	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSGA10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSGA10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSGA10IP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSGA14	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSKU	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSNARE1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSP50	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPAN12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPAN15	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPAN3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPAN33	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPAN5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPO	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPYL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPYL4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSPYL6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSR1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSSC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSSC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSSK6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TST	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSTA3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TSTD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTBK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC21B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC23	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC25	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC30A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC30B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC32	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC33	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC37	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC39B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTC9B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL10	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL5	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTLL7	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TTRAP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBA1A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBA1B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBA3C	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBA4A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBB2A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBB2B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBB2B	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBB4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBB6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBD1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBGCP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBGCP3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUBGCP6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUFM	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TULP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUSC4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TUT1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TWF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TWISTNB	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TWSG1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXLNA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXN	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXN2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNDC11	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNDC12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNDC12	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNDC6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNDC9	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNL1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNL4A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TXNRD2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
TYK2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
U2AF1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
U2AF1L4	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
U2AF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
U2AF2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UACA	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBA3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBA6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBAC1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBAP2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBASH3A	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBC	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2CBP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2CBP	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2D3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2D3	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2G1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2G2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2H	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2J1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2J2	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2L6	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2M	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2N	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2O	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2Q1	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2S	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
UBE2T	E2F6	NA	Human	Blood	K562	ChIP-seq	2	NA	NA
