Mouse genes	Human genes
Tbc1d12	TBC1D12
Abcc2	ABCC2
Adra2a	ADRA2A
Adrb1	ADRB1
Peo1	C10orf2
Chuk	CHUK
Cox15	COX15
Cyp2c55	CYP2C18
Cyp2c50	CYP2C19
Entpd1	ENTPD1
Exosc1	EXOSC1
Fbxw4	FBXW4
Fgf8	FGF8
Gbf1	GBF1
Hif1an	HIF1AN
Ifit3	IFIT3
Kcnip2	KCNIP2
Lbx1	LBX1
Lcor	LCOR
Ldb1	LDB1
Lgi1	LGI1
Loxl4	LOXL4
Lzts2	LZTS2
Mms19	MMS19
Mxi1	MXI1
Myof	MYOF
Nfkb2	NFKB2
Nrap	NRAP
Papss2	PAPSS2
Pax2	PAX2
Pdcd4	PDCD4
Pde6c	PDE6C
Pi4k2a	PI4K2A
Pkd2l1	PKD2L1
Plau	PLAU
Psd	PSD
Taf5	TAF5
Tlx1	TLX1
Wnt8b	WNT8B
Arhgap19	ARHGAP19
Gm340	C10orf12
Cc2d2b	CC2D2B
Fas	FAS
Frat1	FRAT1
Frat2	FRAT2
Got1	GOT1
Kif11	KIF11
Mgea5	MGEA5
Pik3ap1	PIK3AP1
Rrp12	RRP12
Sfrp5	SFRP5
Tctn3	TCTN3
Tm9sf3	TM9SF3
Zdhhc16	ZDHHC16
Zfp518a	ZNF518A
Avpi1	AVPI1
D19Ertd386e	C10orf28
4933411K16Rik	C10orf62
Cnnm1	CNNM1
Cpn1	CPN1
Cutc	CUTC
Dnmbp	DNMBP
Golga7b	GOLGA7B
Hells	HELLS
Hoga1	HOGA1
Marveld1	MARVELD1
Morn4	MORN4
Nkx2-3	NKX2-3
Pyroxd2	PYROXD2
Slc25a28	SLC25A28
Ubtd1	UBTD1
Zfyve27	ZFYVE27
Aldh18a1	ALDH18A1
Col17a1	COL17A1
Cyp17a1	CYP17A1
Cyp2e1	CYP2E1
Trim8	TRIM8
Gm13540	BLOC1S2
Cwf19l1	CWF19L1
Fam178a	FAM178A
Kazald1	KAZALD1
Mrpl43	MRPL43
Ndufb8	NDUFB8
Npm3	NPM3
Pdzd7	PDZD7
Scd2	SCD
Sec31b	SEC31B
Sema4g	SEMA4G
Sfxn3	SFXN3
Actr1a	ACTR1A
As3mt	AS3MT
Btrc	BTRC
D19Wsu162e	C10orf26
2010012O05Rik	C10orf32
9130011E15Rik	C10orf76
Cnnm2	CNNM2
Cuedc2	CUEDC2
Dpcd	DPCD
Elovl3	ELOVL3
Fbxl15	FBXL15
Hps6	HPS6
Nolc1	NOLC1
Nt5c2	NT5C2
Pitx3	PITX3
Pprc1	PPRC1
Sfxn2	SFXN2
Sufu	SUFU
Tmem180	TMEM180
Calhm1	CALHM1
Calhm3	CALHM3
Ina	INA
Obfc1	OBFC1
Pcgf6	PCGF6
Pdcd11	PDCD11
Sh3pxd2a	SH3PXD2A
Slk	SLK
Usmg5	USMG5
Ablim1	ABLIM1
Casp7	CASP7
Dusp5	DUSP5
Fam45a	FAM45A
Prdx3	PRDX3
Rgs10	RGS10
Sec23ip	SEC23IP
Shoc2	SHOC2
Slc18a2	SLC18A2
Smc3	SMC3
Tectb	TECTB
Acsl5	ACSL5
Ccdc147	CCDC147
Dclre1a	DCLRE1A
Gsto1	GSTO1
Gsto2	GSTO2
Itprip	ITPRIP
Neurl1a	NEURL
Sfr1	SFR1
Add3	ADD3
Bag3	BAG3
Gpam	GPAM
Gucy2g	GUCY2GP
Rbm20	RBM20
Uros	UROS
Vti1a	VTI1A
Zdhhc6	ZDHHC6
Afap1l2	AFAP1L2
A630007B06Rik	C10orf118
9930023K05Rik	C10orf81
1700019N19Rik	C10orf82
1700011F14Rik	C10orf96
Eno4	ENO4
Fam160b1	FAM160B1
Habp2	HABP2
Kcnk18	KCNK18
4930506M07Rik	KIAA1598
Nhlrc2	NHLRC2
Pgam1	PGAM1
Pnliprp1	PNLIPRP1
Pnliprp2	PNLIPRP2
Tcf7l2	TCF7L2
Tdrd1	TDRD1
Trub1	TRUB1
Vwa2	VWA2
Xpnpep1	XPNPEP1
Atrnl1	ATRNL1
Bub3	BUB3
Chst15	CHST15
Dpysl4	DPYSL4
Eif3a	EIF3A
Fgfr2	FGFR2
Glrx3	GLRX3
Gpr123	GPR123
Ikzf5	IKZF5
Mgmt	MGMT
Nkx6-2	NKX6-2
Oat	OAT
Ptpre	PTPRE
Snora19	SNORA19
Tacc2	TACC2
Utf1	UTF1
Wdr11	WDR11
Bccip	BCCIP
Emx2	EMX2
Emx2os	EMX2OS
Pnlip	PNLIP
Vax1	VAX1
2700078E11Rik	C10orf46
D19Ertd737e	FAM204A
Gfra1	GFRA1
Grk5	GRK5
Inpp5f	INPP5F
Mcmbp	MCMBP
Nanos1	NANOS1
Rab11fip2	RAB11FIP2
Sfxn4	SFXN4
Hspa12a	HSPA12A
Pdzd8	PDZD8
Ppapdc1a	PPAPDC1A
Acadsb	ACADSB
Aldoart2	ALDOAP2
Ate1	ATE1
Btbd16	BTBD16
4933402N03Rik	C10orf120
4930404H21Rik	C10orf122
2700050L05Rik	C10orf137
2310057M21Rik	C10orf88
Cpxm2	CPXM2
Ctbp2	CTBP2
Cuzd1	CUZD1
Dmbt1	DMBT1
Dock1	DOCK1
Fam175b	FAM175B
Fam24a	FAM24A
Fam53b	FAM53B
Gpr26	GPR26
Hmx2	HMX2
Hmx3	HMX3
Lhpp	LHPP
Mettl10	METTL10
Mmp21	MMP21
Nkx1-2	NKX1-2
Nsmce4a	NSMCE4A
Plekha1	PLEKHA1
Prlhr	PRLHR
Pstk	PSTK
Zranb1	ZRANB1
D7Ertd443e	C10orf90
Clrn3	CLRN3
Dhx32	DHX32
Echs1	ECHS1
Fam196a	FAM196A
Fank1	FANK1
Foxi2	FOXI2
Mki67	MKI67
Adam12	ADAM12
Adam8	ADAM8
Bnip3	BNIP3
1810014F10Rik	C10orf125
9330101J02Rik	C10orf93
Caly	CALY
Ebf3	EBF3
Htra1	HTRA1
Inpp5a	INPP5A
Jakmip3	JAKMIP3
Kndc1	KNDC1
Cd163l1	LOC619207
Lrrc27	LRRC27
Mtg1	MTG1
Paox	PAOX
Ppp2r2d	PPP2R2D
Prap1	PRAP1
Pwwp2b	PWWP2B
Sprn	SPRN
Stk32c	STK32C
Syce1	SYCE1
Tcerg1l	TCERG1L
E030019B06Rik	TTC40
Tubgcp2	TUBGCP2
Zfp511	ZNF511
Acbd7	ACBD7
Dydc1	DYDC1
Gm10270	HMGN2P8
Lrrc18	LRRC18
2310015B20Rik	M1
Nps	NPS
Timm23	TIMM23
Ano9	ANO9
Ap2a2	AP2A2
Ascl2	ASCL2
Athl1	ATHL1
B4galnt4	B4GALNT4
Bet1l	BET1L
Brsk2	BRSK2
1600016N20Rik	C11orf35
Gm14492	C11orf89
Cars	CARS
Cd151	CD151
Cd81	CD81
Cdhr5	CDHR5
Cdkn1c	CDKN1C
Cend1	CEND1
Chid1	CHID1
Chrna10	CHRNA10
Cox8b	COX8BP
Ctsd	CTSD
Deaf1	DEAF1
Drd4	DRD4
Dusp8	DUSP8
Efcab4a	EFCAB4A
Eps8l2	EPS8L2
Fxc1	FXC1
H19	H19
Hbb	HBB
Hbb-y	HBE1
Hbb-bh1	HBG2
Hpx	HPX
Hras1	HRAS
Ifitm1	IFITM1
6330512M04Rik	IFITM10
Ifitm2	IFITM2
Ifitm3	IFITM3
Ifitm5	IFITM5
Igf2	IGF2
Igf2as	IGF2-AS1
Ins2	INS
Irf7	IRF7
Kcnq1	KCNQ1
Gm10153	KRTAP5-1
Krtap5-2	KRTAP5-2
Krtap5-5	KRTAP5-5
Gm2262	KRTAP5-6
Lrrc56	LRRC56
Lsp1	LSP1
Mob2	MOB2
Mrpl17	MRPL17
Mrpl23	MRPL23
Muc2	MUC2
Muc5ac	MUC5AC
Muc5b	MUC5B
Muc6	MUC6
Nap1l4	NAP1L4
Nup98	NUP98
Odf3	ODF3
Olfr68	OR52A1
Pddc1	PDDC1
Pgap2	PGAP2
Phrf1	PHRF1
Lrdd	PIDD
Pik3c2a	PIK3C2A
Pnpla2	PNPLA2
Psmd13	PSMD13
Ptdss2	PTDSS2
Rassf7	RASSF7
Rhog	RHOG
Ric8	RIC8A
Rnh1	RNH1
Rplp2	RPLP2
Rrm1	RRM1
Scgb1c1	SCGB1C1
Sct	SCT
Sigirr	SIGIRR
Sirt3	SIRT3
Slc22a18	SLC22A18
Slc25a22	SLC25A22
Stim1	STIM1
Syt8	SYT8
Taldo1	TALDO1
Th	TH
Tmem80	TMEM80
Tnni2	TNNI2
Tnnt3	TNNT3
Tollip	TOLLIP
Trim21	TRIM21
Trim3	TRIM3
Trpm5	TRPM5
Tspan32	TSPAN32
Tspan4	TSPAN4
Tssc4	TSSC4
Tub	TUB
Adm	ADM
Art5	ART5
Cckbr	CCKBR
Cnga4	CNGA4
Cyb5r2	CYB5R2
Dchs1	DCHS1
Dennd5a	DENND5A
Gm9571	DNHD1
Eif3f	EIF3F
Fam160a2	FAM160A2
Gvin1	GVINP1
Ilk	ILK
Ipo7	IPO7
Ldha	LDHA
Mrgpre	MRGPRE
Mrgprg	MRGPRG
Myod1	MYOD1
Nlrp10	NLRP10
Nlrp14	NLRP14
Olfml1	OLFML1
Olfr714	OR10A2
Olfr518	OR10A3
Olfr17	OR10A4
Olfr713	OR10A5
Olfr516	OR10A6
Olfr479	OR10AB1P
Olfr705	OR2AG1
Olfr706	OR2AG2
Olfr715	OR2D2
Olfr586	OR51A2
Olfr575	OR51A6P
Olfr576	OR51A7
Olfr65	OR51B6
Olfr557	OR51D1
Olfr558	OR51E1
Olfr585	OR51F1
Olfr568	OR51F2
Olfr578	OR51G1
Olfr577	OR51G2
Olfr555	OR51H1P
Olfr640	OR51I1
Olfr641	OR51I2
Olfr633	OR51J1
Olfr631	OR51M1
Olfr635	OR51Q1
Olfr571	OR51S1
Olfr574	OR51T1
Olfr624	OR51V1
Olfr243	OR52A5
Olfr691	OR52B2
Olfr547	OR52B4
Olfr618	OR52B6
Olfr646	OR52D1
Olfr589	OR52E2
Olfr677	OR52E4
Olfr678	OR52E5
Olfr675	OR52E6
Olfr648	OR52H1
Olfr556	OR52I2
Olfr592	OR52J3
Olfr552	OR52K2
Olfr685	OR52L1
Olfr554	OR52M1
Olfr664	OR52N1
Olfr666	OR52N2
Olfr658	OR52N4
Olfr669	OR52N5
Olfr569	OR52R1
Olfr692	OR52W1
Olfr681	OR56A3
Olfr684	OR56A4
Olfr683	OR56A5
Olfr657	OR56B1
Olfr661	OR56B2P
Olfr689	OR56B4
Olfr513	OR5E1P
Olfr478	OR5P2
Olfr508	OR5P3
Osbpl5	OSBPL5
Ovch2	OVCH2
Phlda2	PHLDA2
Ppfibp2	PPFIBP2
Prkcdbp	PRKCDBP
Ric3	RIC3
Rnf141	RNF141
Rrp8	RRP8
Sbf2	SBF2
Smpd1	SMPD1
Snora23	SNORA23
Syt9	SYT9
Tmem41b	TMEM41B
Trim6	TRIM6
Trim66	TRIM66
Trim68	TRIM68
Trpc2	TRPC2
Ubqlnl	UBQLNL
Zfp143	ZNF143
D930014E17Rik	AKIP1
Ascl3	ASCL3
BC051019	C11orf16
Ctr9	CTR9
Galntl4	GALNTL4
Mical2	MICAL2
Nrip3	NRIP3
Parva	PARVA
Pth	PTH
Scube2	SCUBE2
Sox6	SOX6
Stk33	STK33
Taf10	TAF10
Tmem9b	TMEM9B
Tph1	TPH1
Usp47	USP47
Wee1	WEE1
2410018M08Rik	ZBED5
Btbd10	BTBD10
Calca	CALCA
Calcb	CALCB
Copb1	COPB1
Cyp2r1	CYP2R1
Dkk3	DKK3
Far1	FAR1
Insc	INSC
Rassf10	RASSF10
Rras2	RRAS2
Spon1	SPON1
Tead1	TEAD1
Abcc8	ABCC8
1110004F10Rik	C11orf58
Csrp3	CSRP3
Dbx1	DBX1
E2f8	E2F8
Gtf2h1	GTF2H1
Htatip2	HTATIP2
Kcnj11	KCNJ11
Ldhc	LDHC
Mrgprb2	MRGPRX1
Mrgprx2	MRGPRX2
Mrgprx1	MRGPRX4
Nav2	NAV2
Nell1	NELL1
Nucb2	NUCB2
Otog	OTOG
Pde3b	PDE3B
Plekha7	PLEKHA7
Prmt3	PRMT3
Psma1	PSMA1
Ptpn5	PTPN5
Saa1	SAA1
Saa4	SAA4
Saal1	SAAL1
Slc6a5	SLC6A5
Spty2d1	SPTY2D1
Tmem86a	TMEM86A
Uevld	UEVLD
Zdhhc13	ZDHHC13
Ampd3	AMPD3
Apbb1	APBB1
Arfip2	ARFIP2
Arntl	ARNTL
Art1	ART1
Eif4g2	EIF4G2
Fancf	FANCF
Kcnc1	KCNC1
Kcnq1ot1	KCNQ1OT1
Lmo1	LMO1
Lyve1	LYVE1
Mrvi1	MRVI1
Nlrp6	NLRP6
Olfr64	OR51B2
Olfr66	OR51B4
Olfr78	OR51E2
Olfr2	OR6A2
Pkp3	PKP3
Polr2l	POLR2L
Rbmxl2	RBMXL2
Rpl27a	RPL27A
Rps13	RPS13
Snora3	SNORA3
Snora52	SNORA52
Snord14a	SNORD14A
St5	ST5
Swap70	SWAP70
Tpp1	TPP1
Trim34a	TRIM34
Trim5	TRIM5
Tsg101	TSG101
Ubqln3	UBQLN3
Ano5	ANO5
Gas2	GAS2
Luzp2	LUZP2
Muc15	MUC15
Sergef	SERGEF
Slc17a6	SLC17A6
Ush1c	USH1C
Ano3	ANO3
Bbox1	BBOX1
Fibin	FIBIN
Slc5a12	SLC5A12
Svip	SVIP
2700007P21Rik	C11orf46
Ccdc34	CCDC34
Kif18a	KIF18A
Mettl15	METTL15
Hps5	HPS5
Kcna4	KCNA4
Lgr4	LGR4
Lin7c	LIN7C
Abtb2	ABTB2
Apip	APIP
Bdnf	BDNF
D430041D05Rik	C11orf41
A930018P22Rik	C11orf91
Caprin1	CAPRIN1
Cat	CAT
Ccdc73	CCDC73
Cd44	CD44
Cd59b	CD59
Commd9	COMMD9
Cstf3	CSTF3
Depdc7	DEPDC7
Dnajc24	DNAJC24
Eif3m	EIF3M
Elf5	ELF5
Elp4	ELP4
Fbxo3	FBXO3
Fjx1	FJX1
Fshb	FSHB
Hipk3	HIPK3
Immp1l	IMMP1L
Ldlrad3	LDLRAD3
Lmo2	LMO2
Mpped2	MPPED2
Nat10	NAT10
Pamr1	PAMR1
Pax6	PAX6
Prr5l	PRR5L
Prrg4	PRRG4
Qser1	QSER1
Rag1	RAG1
Rag2	RAG2
Rcn1	RCN1
Slc1a2	SLC1A2
Tcp11l1	TCP11L1
Trim44	TRIM44
Wt1	WT1
B230118H07Rik	C11orf74
Chrm4	CHRM4
Ddb2	DDB2
Ehf	EHF
Ext2	EXT2
Lrrc4c	LRRC4C
Pacsin3	PACSIN3
Syt13	SYT13
Traf6	TRAF6
Accsl	ACCSL
Acp2	ACP2
Agbl2	AGBL2
Alkbh3	ALKBH3
Alx4	ALX4
Ambra1	AMBRA1
Api5	API5
Arfgap2	ARFGAP2
Arhgap1	ARHGAP1
Atg13	ATG13
1110051M20Rik	C11orf49
1700029I15Rik	C11orf94
Gm13889	C11orf96
Cd82	CD82
Chst1	CHST1
Ckap5	CKAP5
Creb3l1	CREB3L1
Cry2	CRY2
Dgkz	DGKZ
Fnbp4	FNBP4
Folh1	FOLH1
Gyltl1b	GYLTL1B
Harbi1	HARBI1
Hsd17b12	HSD17B12
Kbtbd4	KBTBD4
Lrp4	LRP4
Madd	MADD
Mapk8ip1	MAPK8IP1
Mdk	MDK
Mtch2	MTCH2
Mybpc3	MYBPC3
Nr1h3	NR1H3
Nup160	NUP160
Olfr1256	OR4A47
Olfr32	OR4B1
Olfr1264	OR4C3
Olfr1260	OR4C5
Olfr1265	OR4X2
Pex16	PEX16
Phf21a	PHF21A
Psmc3	PSMC3
Ptpmt1	PTPMT1
Ptprj	PTPRJ
Rapsn	RAPSN
Slc35c1	SLC35C1
Slc39a13	SLC39A13
Slc43a1	SLC43A1
Snord67	SNORD67
Sfpi1	SPI1
Trp53i11	TP53I11
Tspan18	TSPAN18
Ttc17	TTC17
Zfp408	ZNF408
Trim43b	LOC283116
Olfr1250	OR4A5
Olfr1259	OR4C12
Olfr1202	OR4C13
Olfr1258	OR4C46
Ndufs3	NDUFS3
Accs	ACCS
Celf1	CELF1
F2	F2
Gng3	GNG3
Prdm11	PRDM11
Gpr137	GPR137
Me3	ME3
Pdhx	PDHX
Gm5499	TMX2
Tmprss5	TMPRSS5
C1qtnf4	C1QTNF4
Ctnnd1	CTNND1
Macrod1	MACROD1
Olfr1123	OR10AG1
Olfr1234	OR4A15
Olfr1240	OR4A16
Olfr1206	OR4C11
Olfr1211	OR4C15
Olfr1209	OR4C16
Olfr1231	OR4C1P
Olfr1193	OR4S2
Olfr1173	OR5D13
Olfr1162	OR5D14
Olfr1155	OR5D16
Olfr73	OR5D18
Olfr154	OR5G1P
Olfr152	OR5I1
Olfr1052	OR5J2
Olfr1157	OR5L1
Olfr1156	OR5L2
Olfr1012	OR9G9
Olfr1154	OR9M1P
Rps6ka4	RPS6KA4
Slc22a8	SLC22A8
Slc43a3	SLC43A3
Aplnr	APLNR
Gm98	C11orf9
Clp1	CLP1
Cox8a	COX8A
Ddb1	DDB1
Dpp3	DPP3
Fads3	FADS3
Fen1	FEN1
Flrt1	FLRT1
Ms4a1	MS4A1
Ms4a12	MS4A12
Ms4a2	MS4A2
Ms4a4a	MS4A4A
Ms4a5	MS4A5
Ms4a7	MS4A7
Mta2	MTA2
Naaladl1	NAALADL1
Nxf1	NXF1
Osbp	OSBP
P2rx3	P2RX3
Ppp2r5b	PPP2R5B
Prg2	PRG2
Prg3	PRG3
Gpr44	PTGDR2
Pygm	PYGM
Rab1b	RAB1B
Rab30	RAB30
Serping1	SERPING1
Snx15	SNX15
Ssrp1	SSRP1
Syt7	SYT7
Ube2l6	UBE2L6
Zfp91	ZFP91
2700094K13Rik	C11orf31
Catsper1	CATSPER1
Ccdc85b	CCDC85B
Cdca5	CDCA5
Dtx4	DTX4
Fam111a	FAM111A
Glyat	GLYAT
Lpxn	LPXN
Lrrc55	LRRC55
Med19	MED19
Mpeg1	MPEG1
Mrpl16	MRPL16
Ms4a3	MS4A3
Ms4a6b	MS4A6A
Olfr1494	OR10Q1
Olfr1420	OR10V1
Olfr1490	OR10W1
Olfr1496	OR1S1
Olfr1425	OR4D10
Olfr1423	OR4D11
Olfr1428	OR4D6
Olfr1426	OR4D9
Olfr76	OR5A1
Olfr993	OR5AK2
Olfr987	OR5AK4P
Olfr1433	OR5AN1
Olfr1020	OR5AP2
Olfr1110	OR5AQ1P
Olfr1019	OR5AR1
Olfr1111	OR5AS1
Olfr1445	OR5B12
Olfr1461	OR5B17
Olfr1451	OR5B2
Olfr1444	OR5B21
Olfr1469	OR5B3
Olfr1323	OR5F1
Olfr1106	OR5J1P
Olfr1022	OR5M1
Olfr1023	OR5M10
Olfr1029	OR5M11
Olfr1033	OR5M3
Olfr1030	OR5M5P
Olfr1031	OR5M8
Olfr1034	OR5M9
Olfr1038-ps	OR5R1
Olfr1094	OR5T1
Olfr1102	OR5T2
Olfr1093	OR5T3
Olfr522	OR6Q1
Olfr1100	OR8H2
Olfr1104	OR8I2
Olfr1045	OR8J3
Olfr1046	OR8K1
Olfr1047	OR8K3
Olfr1008	OR8K5
Olfr1044	OR8U1
Olfr1014	OR9G1
Olfr1006	OR9G4
Olfr1505	OR9I1
Olfr1500	OR9Q1
Olfr1497	OR9Q2
Patl1	PATL1
Plac1l	PLAC1L
Rtn4rl2	RTN4RL2
Smtnl1	SMTNL1
Stx3	STX3
Timm10	TIMM10
Tnks1bp1	TNKS1BP1
Ypel4	YPEL4
Zdhhc5	ZDHHC5
Ahnak	AHNAK
1810006K21Rik	C11orf10
Ccdc86	CCDC86
Cntf	CNTF
Cpsf7	CPSF7
Cybasc3	CYBASC3
Dagla	DAGLA
Dak	DAK
Fads1	FADS1
Fads2	FADS2
1700017D01Rik	LINC00301
Lrrc10b	LRRC10B
Ms4a10	MS4A10
Ms4a14	MS4A14
Ms4a15	MS4A15
Ms4a18	MS4A18
Ms4a8a	MS4A8B
Ppp1r32	PPP1R32
Prpf19	PRPF19
Rab3il1	RAB3IL1
Sdhaf2	SDHAF2
Slc15a3	SLC15A3
Tmem109	TMEM109
Tmem132a	TMEM132A
Tmem138	TMEM138
Tut1	TUT1
Vps37c	VPS37C
Vwce	VWCE
U05342	ZFP91-CNTF
Zp1	ZP1
Asrgl1	ASRGL1
B3gat3	B3GAT3
1810009A15Rik	C11orf48
AI462493	C11orf83
Ccdc88b	CCDC88B
Eef1g	EEF1G
Eml3	EML3
Ganab	GANAB
Hnrnpul2	HNRNPUL2
Incenp	INCENP
Ints5	INTS5
Lrrn4cl	LRRN4CL
Pla2g16	PLA2G16
Scgb1a1	SCGB1A1
Slc22a19	SLC22A25
Slc22a6	SLC22A6
Stx5a	STX5
Taf6l	TAF6L
Tmem179b	TMEM179B
Tmem223	TMEM223
Ttc9c	TTC9C
Ubxn1	UBXN1
Wdr74	WDR74
Zbtb3	ZBTB3
Aldh3b1	ALDH3B1
Aldh3b2	ALDH3B2
Arl2	ARL2
Arrb1	ARRB1
Art2a-ps	ART2P
Bbs1	BBS1
Best1	BEST1
Brms1	BRMS1
Bscl2	BSCL2
1110014N23Rik	C11orf2
1810055G02Rik	C11orf24
2700081O15Rik	C11orf95
Capn1	CAPN1
Ccnd1	CCND1
Ccs	CCS
Cd248	CD248
Cd5	CD5
Cd6	CD6
Cdc42ep2	CDC42EP2
Cdk2ap2	CDK2AP2
Cfl1	CFL1
Chrm1	CHRM1
Cst6	CST6
Ctsf	CTSF
Cttn	CTTN
Dnajc4	DNAJC4
Dpf2	DPF2
Ehd1	EHD1
Esa4	ESA4
Esrra	ESRRA
Fam89b	FAM89B
Fau	FAU
Fgf3	FGF3
Fosl1	FOSL1
Frmd8	FRMD8
Fth1	FTH1
Gif	GIF
Gstp1	GSTP1
Il18bp	IL18BP
Inppl1	INPPL1
Kat5	KAT5
Kcnk4	KCNK4
Kcnk7	KCNK7
Lgals12	LGALS12
Map4k2	MAP4K2
Men1	MEN1
Mrpl49	MRPL49
Mus81	MUS81
Ndufs8	NDUFS8
Ndufv1	NDUFV1
Npas4	NPAS4
Nrxn2	NRXN2
Numa1	NUMA1
Ovol1	OVOL1
Pak1	PAK1
Pcf11	PCF11
Pitpnm1	PITPNM1
Plcb3	PLCB3
Pold4	POLD4
Ppp1ca	PPP1CA
Ppp1r14b	PPP1R14B
Ppp6r3	PPP6R3
Prdx5	PRDX5
Rasgrp2	RASGRP2
Rbm4	RBM4
Rbm4b	RBM4B
Rce1	RCE1
Rela	RELA
Rom1	ROM1
Rtn3	RTN3
Gm9749	SCGB1D2
Scgb2a2	SCGB2A2
Scyl1	SCYL1
Seao	SEA
Sf1	SF1
Sipa1	SIPA1
Slc29a2	SLC29A2
Slc3a2	SLC3A2
Slco2b1	SLCO2B1
Snord22	SNORD22
Spnb3	SPTBN2
Stard10	STARD10
Stip1	STIP1
Syvn1	SYVN1
Tm7sf2	TM7SF2
Ucp2	UCP2
Unc93b1	UNC93B1
Vegfb	VEGFB
Yap1	YAP1
Yif1a	YIF1A
Zfpl1	ZFPL1
Znhit2-ps	ZNHIT2
Actn3	ACTN3
Adrbk1	ADRBK1
Atg2a	ATG2A
Atl3	ATL3
Bad	BAD
Banf1	BANF1
Batf2	BATF2
AI837181	C11orf68
AI846148	C11orf84
1700123I01Rik	C11orf85
Cabp2	CABP2
Cdc42bpg	CDC42BPG
Ctsw	CTSW
Gm962	DKFZp761E198
Efemp2	EFEMP2
Ehbp1l1	EHBP1L1
Eif1ad	EIF1AD
Fermt3	FERMT3
Fgf15	FGF19
Fibp	FIBP
Fkbp2	FKBP2
Gal3st3	GAL3ST3
Gpha2	GPHA2
Gm550	LOC256676
Ltbp3	LTBP3
Malat1	MALAT1
Map3k11	MAP3K11
Mark2	MARK2
Naa40	NAA40
Neat1	NEAT1
Nudt22	NUDT22
Otub1	OTUB1
Pacs1	PACS1
Pcnxl3	PCNXL3
Pola2	POLA2
Polr2g	POLR2G
Rad9	RAD9A
Rcor2	RCOR2
Rnaseh2c	RNASEH2C
Sac3d1	SAC3D1
Sart1	SART1
Sf3b2	SF3B2
Slc22a12	SLC22A12
Slc22a30	SLC22A9
Slc25a45	SLC25A45
Snx32	SNX32
Sssca1	SSSCA1
Tigd3	TIGD3
Tmem216	TMEM216
Trmt112	TRMT112
Trpt1	TRPT1
Tsga10ip	TSGA10IP
Acy3	ACY3
Ankrd13d	ANKRD13D
B3gnt1	B3GNT1
Gm960	C11orf80
2010003K11Rik	C11orf86
Cabp4	CABP4
Carns1	CARNS1
Ccdc87	CCDC87
Chka	CHKA
Cnih2	CNIH2
Coro1b	CORO1B
Cpt1a	CPT1A
Doc2g	DOC2GP
Gpr152	GPR152
Hrasls5	HRASLS5
Kdm2a	KDM2A
Klc2	KLC2
Lrfn4	LRFN4
Mtl5	MTL5
Nudt8	NUDT8
Peli3	PELI3
Phox2a	PHOX2A
Rbm14	RBM14
Rin1	RIN1
Rps6kb2	RPS6KB2
Shank2	SHANK2
Ssh3	SSH3
Suv420h1	SUV420H1
Syt12	SYT12
Tbc1d10c	TBC1D10C
Tbx10	TBX10
Tcirg1	TCIRG1
Tmem134	TMEM134
Tmem151a	TMEM151A
Zdhhc24	ZDHHC24
Aip	AIP
Ano1	ANO1
Clcf1	CLCF1
Drap1	DRAP1
Fadd	FADD
Fgf4	FGF4
Folr1	FOLR1
Folr2	FOLR2
Gal	GAL
Ighmbp2	IGHMBP2
Mrgprd	MRGPRD
Mrpl11	MRPL11
Mrpl21	MRPL21
Oraov1	ORAOV1
Ppfia1	PPFIA1
Ptprcap	PTPRCAP
Rab6a	RAB6A
Rps3	RPS3
Tpcn2	TPCN2
Arap1	ARAP1
Arhgef17	ARHGEF17
Atg16l2	ATG16L2
B3gnt6	B3GNT6
3200002M19Rik	C11orf51
C2cd3	C2CD3
Chchd8	CHCHD8
Clpb	CLPB
Dhcr7	DHCR7
Dnajb13	DNAJB13
Fam168a	FAM168A
Fchsd2	FCHSD2
Gdpd5	GDPD5
Kcne3	KCNE3
Klhl35	KLHL35
2400001E08Rik	LAMTOR1
Lipt2	LIPT2
Lrp5	LRP5
Tomt	LRTOMT
Mrpl48	MRPL48
Nadsyn1	NADSYN1
Olfr520	OR2AT4
P4ha3	P4HA3
Pcx	PC
Pde2a	PDE2A
Pgm2l1	PGM2L1
Ppme1	PPME1
Relt	RELT
Rnf121	RNF121
Rnf169	RNF169
Snord15a	SNORD15A
Snord15b	SNORD15B
Spcs2	SPCS2
Ucp3	UCP3
Xrra1	XRRA1
Acer3	ACER3
2210018M11Rik	C11orf30
Clns1a	CLNS1A
Dgat2	DGAT2
Gdpd4	GDPD4
Gucy2d	GUCY2E
Lrrc32	LRRC32
Mtap6	MAP6
Mogat2	MOGAT2
Myo7a	MYO7A
Neu3	NEU3
Omp	OMP
P2ry2	P2RY2
P2ry6	P2RY6
Plekhb1	PLEKHB1
Prkrir	PRKRIR
Serpinh1	SERPINH1
Tsku	TSKU
Uvrag	UVRAG
Wnt11	WNT11
Capn5	CAPN5
Chrdl2	CHRDL2
Crebzf	CREBZF
Med17	MED17
Picalm	PICALM
Pold3	POLD3
Prcp	PRCP
Rab38	RAB38
Sytl2	SYTL2
Tyr	TYR
Alg8	ALG8
Ankrd42	ANKRD42
Aqp11	AQP11
1810020D17Rik	C11orf67
4632434I11Rik	C11orf82
Ccdc83	CCDC83
Ccdc89	CCDC89
Ccdc90b	CCDC90B
Dlg2	DLG2
Fam181b	FAM181B
Gab2	GAB2
Ints4	INTS4
Kctd14	KCTD14
Kctd21	KCTD21
Nars2	NARS2
Ndufc2	NDUFC2
Odz4	ODZ4
